Pos,ID,Name,BV,SV,Team,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,Elite%
M,644,Umeh-Chibueze,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,645,Devenny,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,646,Agbinone,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,647,Rodney,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,648,Wheatley,4.5,4.5,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,649,Meghoma,4.0,4.0,Brentford,5,0.18,7,0.28,4,0.13,1,0.07,0,0.00,0,0.00,0,0.00,1,0.05,0,0.00,1,0.05,0,0.00,1,0.05,0.00
D,650,Lacroix,4.5,4.5,Crystal Palace,84,2.68,80,1.71,77,2.40,70,1.78,66,2.28,65,2.43,63,1.58,63,1.76,56,1.96,58,1.19,57,1.42,57,1.39,0.00
M,651,Mangala,5.0,5.0,Everton,56,1.88,58,1.83,56,1.82,55,1.82,54,1.79,53,1.66,55,1.81,52,1.55,53,1.85,53,1.55,52,1.44,54,1.65,0.00
M,652,Ugarte,5.0,5.0,Man Utd,46,1.37,58,1.63,59,1.81,56,1.62,58,1.67,57,1.84,57,1.71,54,1.76,56,1.42,53,1.68,53,1.32,55,1.72,0.00
D,653,Morato,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,654,C.Soler,5.0,5.0,West Ham,50,2.01,33,1.56,35,1.37,37,1.57,37,1.50,39,1.85,38,1.47,39,1.49,41,1.74,41,1.95,40,1.63,41,1.69,0.00
M,655,Forbs,5.5,5.5,Wolves,0,0.00,2,0.12,3,0.18,3,0.20,4,0.28,4,0.30,5,0.31,5,0.32,6,0.33,5,0.31,5,0.32,6,0.32,0.00
M,656,Young,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,657,Kacurri,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,658,Heaven,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,659,Kabia,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,660,Jaros,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,661,Yogane,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,10001,Josh Wilson-Esbrand,99.9,99.9,Man City,1,0.09,3,0.22,2,0.20,2,0.20,1,0.12,2,0.18,2,0.18,2,0.12,2,0.17,2,0.16,2,0.19,1,0.12,0.00
G,10068,Mark Gillespie,99.9,99.9,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,10076,Matthew Cox,99.9,99.9,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,10077,Paris Maghoma,99.9,99.9,Brentford,8,0.37,6,0.32,4,0.19,2,0.10,1,0.06,1,0.07,1,0.08,2,0.10,1,0.08,2,0.10,1,0.07,2,0.09,0.00
M,10083,Daniel Gore,99.9,99.9,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,10098,Imari Samuels,99.9,99.9,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,10129,Zach Abbott,99.9,99.9,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,10134,Louie Moulden,99.9,99.9,Crystal Palace,0,0.00,0,0.00,1,0.05,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,10145,Morato,99.9,99.9,Nott'm Forest,16,0.55,17,0.41,20,0.71,20,0.68,22,0.77,22,0.67,22,0.46,21,0.85,23,0.39,23,0.57,29,0.99,22,0.65,0.00
F,10148,Carlos Forbs,99.9,99.9,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,10149,André,99.9,99.9,Wolves,83,2.11,79,2.22,79,1.95,77,2.01,78,2.25,76,2.37,77,2.04,75,2.19,74,2.07,73,1.93,73,2.27,73,2.03,0.00
G,10151,Jack Porter,99.9,99.9,Arsenal,1,0.07,0,0.00,4,0.16,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
